Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color (product.metafields.shopify.color-pattern),Feet type (product.metafields.shopify.feet-type),Hoop shape (product.metafields.shopify.hoop-shape),Leg lock type (product.metafields.shopify.leg-lock-type),Material (product.metafields.shopify.material),Mount/Stand features (product.metafields.shopify.mount-stand-features),Shape (product.metafields.shopify.shape),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Hungary,Price / Hungary,Compare At Price / Hungary,Included / International,Price / International,Compare At Price / International,Status
bull-tackle-phoenix-toray-karbon-bojlis-merito,,,,,,,,,300cm,,,,,,,,"",0.0,shopify,deny,manual,26990.00,33900.00,true,true,"",https://cdn.shopify.com/s/files/1/0583/1242/5659/files/7777_c9b6b982-b690-4fd0-9a15-515d61fb1b29.jpg?v=1722588670,2,"",,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
bull-tackle-phoenix-toray-karbon-bojlis-merito,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0583/1242/5659/files/Untitled-1_32610296-c858-4bbe-85c0-08fa0099fc38.jpg?v=1722588670,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bull-tackle-phoenix-toray-karbon-bojlis-merito,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0583/1242/5659/files/Untitled-1555_e994a1f2-bf0c-45dc-b55f-d10feef5a939.jpg?v=1722588670,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bull-tackle-phoenix-toray-karbon-bojlis-merito,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0583/1242/5659/files/444_17af24b5-1c7a-44c9-a6f7-14077ee27419.jpg?v=1722588671,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
langding-net-handle-5-0m,langding net handle 5.0m,"<p>Az <strong>5 m Teleszkópos Univerzális Száknyél</strong> tökéletes választás minden horgász számára, aki rugalmas és erős eszközt keres a sikeres halfogáshoz. Ez a száknyél számos kiemelkedő tulajdonsággal rendelkezik, amelyek megkönnyítik és hatékonyabbá teszik a horgászatot:</p>
<ul>
<li>
<strong>Anyag</strong>: Erős szénszálból készült - A szénszálas konstrukció biztosítja a könnyű, de rendkívül tartós és strapabíró nyél kialakítását.</li>
<li>
<strong>Teleszkóposan állítható</strong>: A nyél teleszkópos kialakítása lehetővé teszi, hogy több méretben is használható legyen. Az igényeknek megfelelően állítható, így mindig a legmegfelelőbb hosszúságot választhatjuk.</li>
<li>
<strong>Rugalmas használat</strong>: Az utolsó tagot benne hagyva erősebb nyelet kapunk, így maximum 4 méteres hosszban is használható, ami nagyobb stabilitást és erőt biztosít a nehezebb halak kifogásához.</li>
<li>
<strong>Szabvány menet</strong>: A szabványos menetes kialakításnak köszönhetően bármilyen méretű és formájú szákfej könnyen csatlakoztatható a nyélhez, így maximális rugalmasságot és kompatibilitást nyújt a különböző horgászati helyzetekben.</li>
</ul>
<p>Az <strong>5 m Teleszkópos Univerzális Száknyél</strong> minden horgász számára ideális választás, aki egy sokoldalú, erős és könnyen kezelhető eszközt szeretne használni a horgászat során.</p>
<!---->",Bull Fishing Store,Hardware > Tools > Tool Sets,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,8590.00,,true,true,"",https://cdn.shopify.com/s/files/1/0583/1242/5659/files/734f6434c367445194a6c7b2614f48e5.jpg?v=1722584640,1,"",false,,,,,,,,,,,,,,,black,,,,,,,,kg,,,true,,,true,,,active
soft-bead-combo-bt3014,SOFT BEAD COMBO-BT3014,"<p>A <strong>Gumigyöngy Ütköző Szett</strong> tökéletes kiegészítő minden horgász számára, aki szereti a sokoldalúságot és a precíz felszerelést. Ez a szett különböző méretű gumigyöngyöket tartalmaz, így bármilyen horgászati szituációban megtalálhatjuk a megfelelő méretet. Az alábbi tulajdonságok teszik a szettet igazán praktikussá és hasznossá:</p>
<ul>
<li>
<strong>Több méret</strong>: A szett 4, 5, 6, 7 és 8 mm-es gumigyöngyöket tartalmaz, így bármilyen horgászati helyzetben megtalálhatjuk a legmegfelelőbb méretet.</li>
<li>
<strong>Praktikus csomagolás</strong>: Az összes méret egy tasakban található, ami megkönnyíti a szállítást és a tárolást, így mindig kéznél lehetnek a szükséges méretű gumigyöngyök.</li>
<li>
<strong>Rugalmas választási lehetőség</strong>: A különböző méretek lehetővé teszik, hogy a horgászat során mindig az adott helyzetnek leginkább megfelelő méretű ütközőt használjuk, legyen szó finomabb vagy nagyobb halakról.</li>
<li>
<strong>Könnyű használat</strong>: A gumigyöngyök egyszerűen és gyorsan felhelyezhetők a szerelékekre, biztosítva a stabil és megbízható ütközést.</li>
</ul>
<p>A <strong>Gumigyöngy Ütköző Szett</strong> minden horgász számára nélkülözhetetlen eszköz, amely segít a szerelékek finomhangolásában és a halfogás hatékonyságának növelésében.</p>
<!---->",Bull Fishing Store,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Craft Fasteners & Closures,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,890.00,,true,true,"",https://cdn.shopify.com/s/files/1/0583/1242/5659/files/7.jpg?v=1722340663,1,"",false,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
soft-bead-combo-bt3014,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0583/1242/5659/files/4_81a1a4cb-2084-4d75-9c71-fccdcccf4a25.jpg?v=1722340663,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fluo-green-monofil-zsinor-1000m,Fluo Green Monofil Zsinór 1000m,"<p>A <strong>Kiváló Ár-Érték Arányú Pontyozó Zsinór</strong> a horgászok számára ideális választás, akik megbízható és erős zsinórt keresnek a pontyozáshoz. A fluo zöld színben kapható zsinór számos előnyt kínál:</p>
<ul>
<li>
<strong>Erősség</strong>: Ez a zsinór megfelelően erős, így biztosítva, hogy a nagyobb pontyok kifogásakor is megbízható társ legyen.</li>
<li>
<strong>Jó csomótűrés</strong>: Kiváló csomótűréssel rendelkezik, ami azt jelenti, hogy a csomók szorosan tartanak és nem gyengítik a zsinórt.</li>
<li>
<strong>Kevés nyúlás</strong>: A minimális nyúlás segít abban, hogy a horgász jobban érezze a hal mozgását és pontosabban reagálhasson a kapásokra.</li>
<li>
<strong>Akadós terepen is megbízható</strong>: Ez a zsinór különösen jól teljesít akadós terepen, ahol nagyobb igénybevételnek van kitéve.</li>
<li>
<strong>Több méretben kapható</strong>: A zsinór 0.20-tól egészen 0.40 méretig elérhető, így minden horgász megtalálhatja a számára legmegfelelőbb vastagságot.</li>
<li>
<strong>1000 méteres kiszerelés</strong>: A nagy kiszerelés lehetővé teszi, hogy hosszabb ideig elegendő zsinór álljon rendelkezésre, így nem kell gyakran újra vásárolni.</li>
</ul>
<p>A <strong>Fluo Zöld Pontyozó Zsinór</strong> kiváló ár-érték arányának köszönhetően remek választás minden horgász számára, aki erős, megbízható és jól látható zsinórt szeretne használni a pontyozás során.</p>
<p>Fluo Green Monofil Zsinór 1000m</p>
<p>0.20mm-4.0kg</p>
<p>0.23mm-5.1kg</p>
<p>0.26mm-6.0kg</p>
<p>0.28mm-6.0kg</p>
<p>0.30mm-7.8kg</p>
<p>0.35mm-10.3kg</p>
<p>0.40mm-13.2kg</p>
<!---->",Bull Fishing Store,Hardware > Building Consumables > Hardware Tape > Electrical Tape,"","",true,size,0.20mm,,,,,,,,"",0.0,shopify,deny,manual,2990.00,,true,true,"",https://cdn.shopify.com/s/files/1/0583/1242/5659/files/6a0f48436f03bf48e8c7f28f9f150b4c_cd9cefcd-853a-4116-b8b9-13bdf510d242.png?v=1721999380,1,"",false,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
fluo-green-monofil-zsinor-1000m,,,,,,,,,0.23mm,,,,,,,,"",0.0,shopify,deny,manual,2990.00,,true,true,"",https://cdn.shopify.com/s/files/1/0583/1242/5659/files/1_2fff9b50-623c-4766-9012-44a28e03716e.png?v=1721999381,2,"",,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
fluo-green-monofil-zsinor-1000m,,,,,,,,,0.26mm,,,,,,,,"",0.0,shopify,deny,manual,2990.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
